Trans. Date,Post Date,Description,Amount,Category
08/01/2020,08/01/2020,"AMZN MKTP US*MF0QO7F20 AMZN.COM/BILLWA2SGXLPZPF0W",27.55,"Merchandise"
08/01/2020,08/01/2020,"GIANT 0365 ABINGDON MD00158R",4.69,"Supermarkets"
08/01/2020,08/01/2020,"SQ *FRESH MILLED FOODS CATONSVILLE MD0001152921509376867677",10.75,"Restaurants"
08/01/2020,08/01/2020,"SQ *YOGAFRESH BEL AIR, BEL AIR MD0001152921509376759755",8.95,"Restaurants"
08/02/2020,08/02/2020,"AMAZON.COM*MF0RL3G61 AMZN.COM/BILLWA7723SQH37IH",11.65,"Merchandise"
08/02/2020,08/02/2020,"AMZN MKTP US*MF0LG5F22 AMZN.COM/BILLWA5D0PXYEX5K2",13.08,"Merchandise"
08/02/2020,08/02/2020,"BESTBUYCOM806264607103 888-BESTBUY MN",15.89,"Merchandise"
08/02/2020,08/02/2020,"BJS FUEL #9040 BALTIMORE MD",37.21,"Gasoline"
08/02/2020,08/02/2020,"BJS WHOLESALE #0040 BALTIMORE MD",155.69,"Warehouse Clubs"
08/02/2020,08/02/2020,"RAVAGE DELI NOTTINGHAM MD",42.99,"Supermarkets"
08/02/2020,08/02/2020,"VITAMIN SHOPPE #709 LUTHERVILLE MD195101",4.65,"Supermarkets"
08/03/2020,08/03/2020,"AMAZON WEB SERVICES AWS.AMAZON.COWA2EFH53JWI7J",0.50,"Services"
08/03/2020,08/03/2020,"AMAZON.COM*MF8ZO6ZG2 AMZN.COM/BILLWA2TUN3UVJFPM",26.49,"Merchandise"
08/03/2020,08/03/2020,"AMZN MKTP US*MF4YV0561 AMZN.COM/BILLWAX0HE5N22OAI",12.71,"Merchandise"
08/03/2020,08/03/2020,"MICROSOFT XBOX REDMOND WA",9.98,"Services"
08/03/2020,08/03/2020,"VIT*VITAMIN SHOPPE.COM 800-223-1216 NJWO21547134",28.43,"Supermarkets"
08/03/2020,08/05/2020,"SP * BEAST TRAMPOLINE 6122032857 MN",-99.00,"Payments and Credits"
08/04/2020,08/04/2020,"AMAZON.COM*MF7TI1B61 AMZN.COM/BILLWA4PE4U4FRJGF",11.49,"Merchandise"
08/04/2020,08/04/2020,"PAYPAL *SEPHORA USA 402-935-7733 CA",8.48,"Merchandise"
08/05/2020,08/05/2020,"AMAZON.COM*MF6UI20Y0 AMZN.COM/BILLWA62HSZN3MC8J",19.39,"Merchandise"
08/05/2020,08/05/2020,"AMAZON.COM*MF7DO9AG2 AMZN.COM/BILLWA3AJ3R3GKXKA",9.10,"Merchandise"
08/06/2020,08/06/2020,"AMAZON.COM*MF0Z98P70 AMZN.COM/BILLWA1V0CT6YNIW6",12.08,"Merchandise"
08/07/2020,08/07/2020,"AMAZON.COM*MF6H20XZ0 AMZN.COM/BILLWAFQIOJMHLBDU",12.24,"Merchandise"
08/07/2020,08/07/2020,"CVS/PHARMACY #04438 BALTIMORE MD",5.29,"Merchandise"
08/07/2020,08/07/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",34.71,"Restaurants"
08/07/2020,08/07/2020,"US REEBOK ONLINE STORE 866-870-1743 MAUS REEBOK ONLINE STORE",31.80,"Merchandise"
08/08/2020,08/08/2020,"AMAZON.COM*MF12O0VI0 AMZN.COM/BILLWA2M2IUP21U1Y",9.75,"Merchandise"
08/08/2020,08/08/2020,"AMZN MKTP US*MF0ZD4I21 AMZN.COM/BILLWAY99KMQ48VCB",24.22,"Merchandise"
